bggid;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image;other_names;name
175914;29;2;5;120;240;https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__thumb/img/LKU2KoMev222qUIKyNqaCF_ZLPY=/fit-in/200x150/filters:strip_icc()/pic2649434.png;https://cf.geekdo-images.com/Wtxml94LAXsIWQCxGPS63Q__original/img/9c-MJB6x54vN5eB-1hT4XQaHtP8=/0x0/filters:format(png)/pic2649434.png;"[""\u5feb\u9910\u5927\u4ea8""; ""\u5feb\u9910\u9023\u9396\u5927\u4ea8""; ""\ud478\ub4dc \uccb4\uc778 \ub9e4\uadf8\ub124\uc774\ud2b8""]";Food Chain Magnate
256769;10250;3;5;120;120;https://cf.geekdo-images.com/nO5DxgcarS5Fs_c-0714cA__thumb/img/U7DVyTcLuxSdekgdbEFMD8TjG28=/fit-in/200x150/filters:strip_icc()/pic4232704.jpg;https://cf.geekdo-images.com/nO5DxgcarS5Fs_c-0714cA__original/img/OPCRl5Y6mKnBPQuarSPRVucZPSM=/0x0/filters:format(jpeg)/pic4232704.jpg;[];Forwarder of Xanadu
262540;2417;1;4;40;90;https://cf.geekdo-images.com/EaHi3zL3D9bZwZWxWkrxFA__thumb/img/TCgo8OXw8NdFesaXAOgXybjVWKc=/fit-in/200x150/filters:strip_icc()/pic4454789.png;https://cf.geekdo-images.com/EaHi3zL3D9bZwZWxWkrxFA__original/img/AhX-x7BrayURStUGSxaqDeaQ7Yg=/0x0/filters:format(png)/pic4454789.png;"[""Wielki po\u0142\u00f3w""]";Freshwater Fly
220308;8;1;4;60;150;https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__thumb/img/NNG7Ijyx4evp5gcVReis9i0koas=/fit-in/200x150/filters:strip_icc()/pic5375625.png;https://cf.geekdo-images.com/hGWFm3hbMlCDsfCsauOQ4g__original/img/tjlflQtUPFiTpLpwk1NCVCS29Ic=/0x0/filters:format(png)/pic5375625.png;"[""Gaia projekt""; ""Progetto Gaia""; ""Projekt Gaja""; ""Projet Gaia""; ""Projeto Gaia""; ""Terra Mystica: Projeto Gaia""; ""\u041f\u0440\u043e\u0435\u043a\u0442 \""\u0413\u0430\u0439\u044f\""""; ""\u30c6\u30e9\u30df\u30b9\u30c6\u30a3\u30ab\uff1a\u30ac\u30a4\u30a2\u30d7\u30ed\u30b8\u30a7\u30af\u30c8""; ""\u76d6\u4e9a\u8ba1\u5212""; ""\uac00\uc774\uc544 \ud504\ub85c\uc81d\ud2b8""]";Gaia Project
31621;5220;2;5;90;90;https://cf.geekdo-images.com/dX_6a5PjYneaCukvrwOP0w__thumb/img/Y8x4NND4tezB4lXFDDXbUYAR3RY=/fit-in/200x150/filters:strip_icc()/pic258917.jpg;https://cf.geekdo-images.com/dX_6a5PjYneaCukvrwOP0w__original/img/Y14Mfmk3wKTpwRPu5eIDytnohYE=/0x0/filters:format(jpeg)/pic258917.jpg;[];Gangster
282918;5889;2;4;20;45;https://cf.geekdo-images.com/Y84r9VRGNZlF3J7lcyYJCQ__thumb/img/p-iIVhxq4Z39RN5gT8doX_9waQY=/fit-in/200x150/filters:strip_icc()/pic4884757.jpg;https://cf.geekdo-images.com/Y84r9VRGNZlF3J7lcyYJCQ__original/img/KW4HH54OpANNBqOL1rx9IWO6_h8=/0x0/filters:format(jpeg)/pic4884757.jpg;[];Garum
35285;2550;3;5;60;60;https://cf.geekdo-images.com/uq5us1tzk6ACciheTBrfNQ__thumb/img/gGLQDhZFwQh9AYxQziO7asLihxU=/fit-in/200x150/filters:strip_icc()/pic4217596.jpg;https://cf.geekdo-images.com/uq5us1tzk6ACciheTBrfNQ__original/img/VFA2ifFKKTfLKGMPOK8nqt-HY_U=/0x0/filters:format(jpeg)/pic4217596.jpg;"[""Preu\u00dfische Ostbahn""]";German Railways
265188;227;2;4;90;120;https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__thumb/img/UHuDcnjAwCiXbNfjuY26-EEnG2M=/fit-in/200x150/filters:strip_icc()/pic5841874.jpg;https://cf.geekdo-images.com/sMRuph3HFUcaSpJZihGZKw__original/img/ehoqoTirtFb5p9Wk2SwWV8nr6ZU=/0x0/filters:format(jpeg)/pic5841874.jpg;"[""Glen More II: Kroniki""; ""\u30b0\u30ec\u30f3\u30e2\u30a2II:\u30af\u30ed\u30cb\u30af\u30eb\u30ba""; ""\u683c\u862d\u6469\u723ell: \u7de8\u5e74\u53f2""; ""\uae00\ub80c \ubaa8\uc5b4 \uc5f0\ub300\uae30""]";Glen More II: Chronicles
9216;180;2;4;90;90;https://cf.geekdo-images.com/9sbSKcc-Fm8Od5wwuf3kgg__thumb/img/pb63LQr94bzh4Z6ofLNJoijRlxU=/fit-in/200x150/filters:strip_icc()/pic1215969.jpg;https://cf.geekdo-images.com/9sbSKcc-Fm8Od5wwuf3kgg__original/img/kNoFZrbwsvMvs_iKWeKBHYLka5Y=/0x0/filters:format(jpeg)/pic1215969.jpg;"[""Goa: A New Expedition""; ""Goa: Die n\u00e4chste Expedition""; ""Goa: Die neue Expedition""; ""Goa: Una nuova Spedizione""; ""Goa: Une Nouvelle Exp\u00e9dition""; ""\u679c\u4e9e""; ""\u679c\u963f""; ""\u679c\u963f\u90a6""; ""\u81e5\u4e9e""]";Goa
182874;87;2;4;60;120;https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__thumb/img/b_KgnMcnGbqF9xc3DdfLvVT-6Wo=/fit-in/200x150/filters:strip_icc()/pic2728138.jpg;https://cf.geekdo-images.com/d4It-gdWY4GZVYSjbq20gQ__original/img/q--Mlcev3k1VtDfk37jK_v26750=/0x0/filters:format(jpeg)/pic2728138.jpg;"[""Gran Hotel Austria""; ""\u0413\u0440\u0430\u043d\u0434 \u043e\u0442\u0435\u043b\u044c \u0410\u0432\u0441\u0442\u0440\u0438\u044f""; ""\u5965\u5730\u5229\u5927\u996d\u5e97""; ""\uadf8\ub79c\ub4dc \uc624\uc2a4\ud2b8\ub9ac\uc544 \ud638\ud154""]";Grand Austria Hotel
254088;3626;2;6;15;30;https://cf.geekdo-images.com/p5Z3SJlMbuKS6KWVqlkGaw__thumb/img/G2_vRotPiOWAjRDyQX0XJ0mN5Lg=/fit-in/200x150/filters:strip_icc()/pic4185608.jpg;https://cf.geekdo-images.com/p5Z3SJlMbuKS6KWVqlkGaw__original/img/Oq3wkbVAwtm8364GVuiUwzKI60w=/0x0/filters:format(jpeg)/pic4185608.jpg;"[""Csillagvad\u00e1szok""; ""\uc624\ub9ac\uc628 \ubcc4\ub4dc\ucef5""]";Gravity Superstar
134157;1501;1;4;45;90;https://cf.geekdo-images.com/T4uNtrQucW_V5SaQW9jA8w__thumb/img/MfCF85O0t4XmvY4nD-sYdu_kzF0=/fit-in/200x150/filters:strip_icc()/pic2958283.png;https://cf.geekdo-images.com/T4uNtrQucW_V5SaQW9jA8w__original/img/sWj48wnM9bzz1GnksGgKkQUqdL0=/0x0/filters:format(png)/pic2958283.png;"[""Gildie Londynu""; ""Die Z\u00fcnfte von London""; ""\u502b\u6566\u516c\u6703""]";Guilds of London
216578;3487;2;7;30;60;https://cf.geekdo-images.com/W2Fs_l4yknRtXqQTc3O0fQ__thumb/img/QQaR7-pTg5Nyh4oq3IAUoWj1yiI=/fit-in/200x150/filters:strip_icc()/pic3465757.jpg;https://cf.geekdo-images.com/W2Fs_l4yknRtXqQTc3O0fQ__original/img/aTsCJmyAfe5IFUa5OOcs4lm0BZg=/0x0/filters:format(jpeg)/pic3465757.jpg;"[""\u041f\u043e\u043a\u0435\u0440 \u041c\u0435\u0440\u0442\u0432\u0435\u0446\u043e\u0432 (Poker Mertvecov)""]";Half-Pint Heroes
98778;390;2;5;25;25;https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__thumb/img/amCeCcEKhYGbVtDvpvIMnu3qTg0=/fit-in/200x150/filters:strip_icc()/pic2007286.jpg;https://cf.geekdo-images.com/JDVksMwfcqoem1k_xtZrOA__original/img/5vNHZiTEhK4aRDuGXv5KImp9cmQ=/0x0/filters:format(jpeg)/pic2007286.jpg;"[""Hanabi Deluxe""; ""Hanabi Extra""; ""Hanabi Fun and Easy""; ""Hanabi Pocket""; ""\u03a0\u03c5\u03c1\u03bf\u03c4\u03b5\u03c7\u03bd\u03ae\u03bc\u03b1\u03c4\u03b1""; ""\u0425\u0430\u043d\u0430\u0431\u0438""; ""\u82b1\u706b""; ""\u82b1\u706b""; ""\ud558\ub098\ube44""]";Hanabi
227789;264;2;4;60;90;https://cf.geekdo-images.com/P0B68R2CLFTuiD8M9lCYPQ__thumb/img/1Omy3H6zspL0HKrUjgdolrGxmwk=/fit-in/200x150/filters:strip_icc()/pic3563904.jpg;https://cf.geekdo-images.com/P0B68R2CLFTuiD8M9lCYPQ__original/img/3tMVOxYhmuL3fpqW2256qUXqWxE=/0x0/filters:format(jpeg)/pic3563904.jpg;"[""Le Bien & Le Malt""; ""Mennyei ser""; ""Mennyei ser""; ""\u30d8\u30d6\u30f3\uff06\u30a8\u30fc\u30eb""]";Heaven & Ale
206859;4626;2;5;70;90;https://cf.geekdo-images.com/NS0v5lfG4oJX75D0Q588Vw__thumb/img/A7fMCsGtWMdVAg1M7zVVB6Ieew8=/fit-in/200x150/filters:strip_icc()/pic3142350.jpg;https://cf.geekdo-images.com/NS0v5lfG4oJX75D0Q588Vw__original/img/q4pIR3BI3pdlHPHuAVZeR_QDqfA=/0x0/filters:format(jpeg)/pic3142350.jpg;[];Iberian Rails
