bggid;rank;min_players;max_players;min_playtime;max_playtime;thumbnail;image;other_names;name
146886;167;1;4;90;120;https://cf.geekdo-images.com/ufUK_7N_13rYhsIurbbtzg__thumb/img/5EIOSTEfRYq1LtHtSnnR9GFJP_M=/fit-in/200x150/filters:strip_icc()/pic2031777.jpg;https://cf.geekdo-images.com/ufUK_7N_13rYhsIurbbtzg__original/img/eKzUqIgkc34WsSVq9zSW6sjZgbc=/0x0/filters:format(jpeg)/pic2031777.jpg;"[""\u041b\u0430-\u0413\u0440\u0430\u043d\u0445\u0430""; ""\u62c9\u683c\u862d\u54c8\u838a\u5712""; ""\ub77c \uadf8\ub791\ud558""]";La Granja
243993;4737;2;4;60;90;https://cf.geekdo-images.com/ybs-pPaD-i2V7O1Zp4gsXQ__thumb/img/x4GStNzBVNWRhCWGokPmi_zrnlw=/fit-in/200x150/filters:strip_icc()/pic4447726.png;https://cf.geekdo-images.com/ybs-pPaD-i2V7O1Zp4gsXQ__original/img/mKHqsd-JHbQYXoPpciF0hEsj-B8=/0x0/filters:format(png)/pic4447726.png;[];La Stanza
1219;1611;2;4;20;20;https://cf.geekdo-images.com/R1BmYXFbv-7UyNWQEb6PUg__thumb/img/sLhPl5N5Ed0JpeNqdr1q9kK_0Ew=/fit-in/200x150/filters:strip_icc()/pic2773940.jpg;https://cf.geekdo-images.com/R1BmYXFbv-7UyNWQEb6PUg__original/img/zchb0D9pGHMof9DZevguvBvQ3Ds=/0x0/filters:format(jpeg)/pic2773940.jpg;"[""The aMAZEing Labyrinth""; ""Avatar Labyrinth""; ""De Betoverde Doolhof""; ""Bl\u00e1zniv\u00e9 bludisko""; ""Bl\u00e1zniv\u00e9 Bludi\u0161t\u011b""; ""Despicable Me Labyrinth""; ""Deutschland Labyrinth""; ""Disney Labyrinth""; ""Doolhof""; ""O Enigma do Labirinto""; ""Den Fortryllede Labyrint""; ""Furfangos Labirintus""; ""Harry Potter Labyrinth""; ""Hello Kitty Labyrinth""; ""Laberinto""; ""Labirinto""; ""Il Labirinto Magico""; ""Labirynt""; ""Labyrinth Free Trial Size""; ""Labyrinth Super Mario""; ""Labyrinthe""; ""Ludi labirint""; ""I maestri del labirinto""; ""Muuttuva labyrintti""; ""Nori Labirint""; ""Skarb Faraona""; ""Spongebob Labyrinth""; ""SpongeBob Schwammkopf Labyrinth""; ""Star Wars IX Labyrinth""; ""Super Labirynt""; ""Tajemnice Labiryntu""; ""Turma da Monica em Labirinto""; ""Das verr\u00fcckte Labyrinth""; ""V\u00f6lundarh\u00fasi\u00f0""; ""Das Zukunftslabyrinth""; ""\u039b\u03b1\u03b2\u03cd\u03c1\u03b9\u03bd\u03b8\u03bf\u03c2""; ""\u0421\u0443\u043c\u0430\u0441\u0448\u0435\u0434\u0448\u0438\u0439 \u043b\u0430\u0431\u0438\u0440\u0438\u043d\u0442""; ""\u05d4\u05de\u05d1\u05d5\u05da \u05d4\u05e7\u05e1\u05d5\u05dd Labyrinth""; ""\u30e9\u30d3\u30ea\u30f3\u30b9 Labyrinth""; ""\u30e9\u30d3\u30ea\u30f3\u30b9\u30fb\u30b8\u30a1\u30cf\u30f3""; ""\ub77c\ube44\ub9b0\uc2a4""]";Labyrinth
65333;14722;2;4;15;15;https://cf.geekdo-images.com/XA5dTBAulNbRQwXw1tHElg__thumb/img/6X_O4APhEos21df4ZBIqx89uYMQ=/fit-in/200x150/filters:strip_icc()/pic649926.jpg;https://cf.geekdo-images.com/XA5dTBAulNbRQwXw1tHElg__original/img/UdEsxOxlCqUvXYYqKLqOwSzdq04=/0x0/filters:format(jpeg)/pic649926.jpg;"[""Le Labyrinthe magique: Jeu de cartes""; ""Il Labyrinto Magico Gioco di Carte""; ""Magic Labyrinth: Card Game""; ""Magiczny labirynt: Gra karciana""; ""Het Magische Labyrint Kaartspel""]";Das Magische Labyrinth Kartenspiel
39927;1914;3;4;120;120;https://cf.geekdo-images.com/JHfw-nac9A0sfkNJGxDOYQ__thumb/img/E2ghzjuIWJKZMg6Y-dXb8lg3eKs=/fit-in/200x150/filters:strip_icc()/pic501286.jpg;https://cf.geekdo-images.com/JHfw-nac9A0sfkNJGxDOYQ__original/img/sRV2vWkCXpLOf3NaXG1ROdbyc54=/0x0/filters:format(jpeg)/pic501286.jpg;[];Last Train to Wensleydale
35677;47;1;5;30;150;https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__thumb/img/mU1YYormB7n6q6y1mUueZp1mSo0=/fit-in/200x150/filters:strip_icc()/pic3330230.jpg;https://cf.geekdo-images.com/mU-YdL_-3Fm4RvNv-y5WJg__original/img/skUvUtGPA3_ruLm7UJkld1bShGU=/0x0/filters:format(jpeg)/pic3330230.jpg;"[""\u0413\u0430\u0432\u0440""; ""\u30eb\u30fb\u30a2\u30fc\u30d6\u30eb""; ""\u6e2f\u90fd\u60c5\u6fc3""; ""\ub974 \uc544\ube0c\ub974""]";Le Havre
275467;882;2;6;45;45;https://cf.geekdo-images.com/kBZGJlIqir1I_EVCr2nDbg__thumb/img/mSl669ndQnGcsmKfe0Yppc1XvbI=/fit-in/200x150/filters:strip_icc()/pic4853794.jpg;https://cf.geekdo-images.com/kBZGJlIqir1I_EVCr2nDbg__original/img/lJRGF7RDvRfo3azopO3tryB6IcI=/0x0/filters:format(jpeg)/pic4853794.jpg;"[""D\u017cem dobry""; ""Macedonia de letras""; ""Titkos szavak""; ""\u0411\u0443\u043a\u0432\u043e\u0434\u0436\u0435\u043c""]";Letter Jam
222407;1762;2;4;90;120;https://cf.geekdo-images.com/fqhwSa3xJUO7rjcluqQ4JQ__thumb/img/msRnARNt0xCRfWdHctBDp6YyjQo=/fit-in/200x150/filters:strip_icc()/pic3470301.jpg;https://cf.geekdo-images.com/fqhwSa3xJUO7rjcluqQ4JQ__original/img/ueVy2CDzNVCvxwp728TjJMJoPvQ=/0x0/filters:format(jpeg)/pic3470301.jpg;[];Lignum (Second Edition)
161533;68;1;4;60;120;https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__thumb/img/ZBTT0qZcD5HMFlhFN7PLMe6zXvg=/fit-in/200x150/filters:strip_icc()/pic3209553.jpg;https://cf.geekdo-images.com/OrHS8_a1CqSGiXeTfCk0Wg__original/img/hVArRkZYHiPTGTfi0DPR58i4o44=/0x0/filters:format(jpeg)/pic3209553.jpg;"[""\ub9ac\uc2a4\ubcf4\uc544""]";Lisboa
103328;12125;2;6;20;20;https://cf.geekdo-images.com/WaYgDcMoCtrzxnS50UknPQ__thumb/img/rqK8fi95r8Ng3QhMo4R9QCF0w3A=/fit-in/200x150/filters:strip_icc()/pic1061349.jpg;https://cf.geekdo-images.com/WaYgDcMoCtrzxnS50UknPQ__original/img/rN4EAqgPaV8Z1UlXmTd2ywsrtnY=/0x0/filters:format(jpeg)/pic1061349.jpg;"[""\u041f\u0435\u0440\u0435\u0440\u0430\u0431\u043e\u0442\u043a\u0430""; ""\u041f\u0435\u0440\u0435\u0440\u0430\u0431\u043e\u0442\u043a\u0430""]";LIXO?
235512;3704;2;5;30;60;https://cf.geekdo-images.com/225EHE7I2UdVOL_EAC0NOA__thumb/img/7R-HHsCpxHwv9QVktdmy7P1zuws=/fit-in/200x150/filters:strip_icc()/pic3741864.jpg;https://cf.geekdo-images.com/225EHE7I2UdVOL_EAC0NOA__original/img/QdDcE8-U6VsGqA6bkY5UC6w4K4w=/0x0/filters:format(jpeg)/pic3741864.jpg;"[""La Isla del Bot\u00edn""]";Loot Island
228409;8087;2;4;10;20;https://cf.geekdo-images.com/j4galwGRM-rfNr40k2Cphg__thumb/img/HhIBLmo0NrtOOfx2WZqWPPvrUqU=/fit-in/200x150/filters:strip_icc()/pic3587882.jpg;https://cf.geekdo-images.com/j4galwGRM-rfNr40k2Cphg__original/img/CXRIuVtSUOB0q_gmYBr3ja7R768=/0x0/filters:format(jpeg)/pic3587882.jpg;[];Lusitania
245643;865;2;4;45;45;https://cf.geekdo-images.com/C9nhhIS2zRuneMt0FBK1zg__thumb/img/Ugc6cGHhvETu-EUYAKy03sXJmJM=/fit-in/200x150/filters:strip_icc()/pic3955965.jpg;https://cf.geekdo-images.com/C9nhhIS2zRuneMt0FBK1zg__original/img/lUDrmhc8SXxr6zn8dLuS3uIhT4g=/0x0/filters:format(jpeg)/pic3955965.jpg;"[""Luxor: Collector's Edition""]";Luxor
95527;381;2;4;60;150;https://cf.geekdo-images.com/wY6k5MmdPH3NVXsJ-SgtMw__thumb/img/Su3JBW4OIe8Qt6nXEyUcMOJtqsM=/fit-in/200x150/filters:strip_icc()/pic1762708.jpg;https://cf.geekdo-images.com/wY6k5MmdPH3NVXsJ-SgtMw__original/img/I-0fr4331yRjHcjZlXiSzq0Lbnw=/0x0/filters:format(jpeg)/pic1762708.jpg;[];Madeira
209778;495;1;8;15;15;https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__thumb/img/Un57jB38oeBZ0WFdd7rXSOEP-1k=/fit-in/200x150/filters:strip_icc()/pic3268473.jpg;https://cf.geekdo-images.com/wJfDIveg2zpTGn8E1WzEpA__original/img/hlp96WuBfwiCijcfPddNmfgTq6E=/0x0/filters:format(jpeg)/pic3268473.jpg;"[""Hrdinov\u00e9 bez z\u00e1ruky""; ""Magic Maze: We\u017a i czmychaj""; ""\u041c\u0430\u0433\u043e\u041c\u0430\u0440\u043a\u0435\u0442""; ""\u041c\u043e\u043b \u041c\u0430\u0433\u0438\u043a\u0430""; ""\u05e2\u05d5\u05dc\u05dd \u05d4\u05e7\u05e1\u05dd""; ""\u98db\u8e8d\u9b54\u76dc\u5718""; ""\u98de\u8dc3\u9b54\u76d7\u56e2""; ""\ub9e4\uc9c1 \uba54\uc774\uc988""]";Magic Maze
9440;697;2;5;90;90;https://cf.geekdo-images.com/BPJDeSSatiiw1eTAnxx5-g__thumb/img/Lslbt68cs39OKA2XO0idRyjEG1Q=/fit-in/200x150/filters:strip_icc()/pic44952.jpg;https://cf.geekdo-images.com/BPJDeSSatiiw1eTAnxx5-g__original/img/f1QHn7vc8bdpjBkZU_q1I132scs=/0x0/filters:format(jpeg)/pic44952.jpg;"[""Maharadja: Paleizenbouw in India""; ""Maharaja: Le Jeu des B\u00e2tisseurs de Palais""; ""Raja: Costruire Palazzi in India""; ""Raja: Palastbau in Indien""]";Maharaja: The Game of Palace Building in India
276025;38;1;4;30;120;https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__thumb/img/lVlnhYyxlZb3WuKZJHLoJcFHEjs=/fit-in/200x150/filters:strip_icc()/pic4917407.jpg;https://cf.geekdo-images.com/rMNa0k05zMdKgSEp26Q3Tw__original/img/yhnCcq9UplffqjSCe08mjTFvgOM=/0x0/filters:format(jpeg)/pic4917407.jpg;"[""\u041c\u0430\u0440\u0430\u043a\u0430\u0439\u0431\u043e""; ""\u30de\u30e9\u30ab\u30a4\u30dc""; ""\u9a6c\u62c9\u5f00\u6ce2""; ""\ub9c8\ub77c\uce74\uc774\ubcf4""]";Maracaibo
40354;329;2;3;210;210;https://cf.geekdo-images.com/RKnoGhSQwVQo0Z_pXTE19g__thumb/img/n-5E6_QWWDbxynAo4gqUvgMk2RE=/fit-in/200x150/filters:strip_icc()/pic524669.jpg;https://cf.geekdo-images.com/RKnoGhSQwVQo0Z_pXTE19g__original/img/taWfpVHP0yyEzNXQiIGkPwLCuLM=/0x0/filters:format(jpeg)/pic524669.jpg;[];Maria
119881;4585;3;6;120;300;https://cf.geekdo-images.com/dBhy88PRSCwlmnApHF_hpw__thumb/img/ne_bku7Cvc9THBeGdMeeKGoSjUs=/fit-in/200x150/filters:strip_icc()/pic4300065.jpg;https://cf.geekdo-images.com/dBhy88PRSCwlmnApHF_hpw__original/img/eWjzhdGmOS6UjqB-OkPmkGOxXLc=/0x0/filters:format(jpeg)/pic4300065.jpg;[];Medioevo Universale
184424;1048;5;18;360;720;https://cf.geekdo-images.com/LrFsr0gl2IlgAoxBnsgQ7w__thumb/img/lo5l_X5fBBkG7eJ7g-eM6I_qsg0=/fit-in/200x150/filters:strip_icc()/pic3193295.jpg;https://cf.geekdo-images.com/LrFsr0gl2IlgAoxBnsgQ7w__original/img/jPH_TOLz_4WZM32WqCpfVH5u2SA=/0x0/filters:format(jpeg)/pic3193295.jpg;[];Mega Civilization
531;2055;3;5;60;60;https://cf.geekdo-images.com/6-Gt5b4KHTfdVWqPhQCeaw__thumb/img/2c3QxjsDbVlgOsaES-K2gu2ftPU=/fit-in/200x150/filters:strip_icc()/pic153968.jpg;https://cf.geekdo-images.com/6-Gt5b4KHTfdVWqPhQCeaw__original/img/adj9x4tv6hzBVYGB6YOyLva1flQ=/0x0/filters:format(jpeg)/pic153968.jpg;"[""Die Kaufleute von Amsterdam""; ""De Veilingmeesters van Amsterdam""]";Merchants of Amsterdam
24669;;2;4;30;30;https://cf.geekdo-images.com/KobEfQuq4xin9VwMPnmaow__thumb/img/xojZBrt6orvnBK5iwzhE6CCegnQ=/fit-in/200x150/filters:strip_icc()/pic152319.jpg;https://cf.geekdo-images.com/KobEfQuq4xin9VwMPnmaow__original/img/5L9YcTakth1TqgK4NP0ROfuCHbA=/0x0/filters:format(jpeg)/pic152319.jpg;"[""Memolino""; ""Merkolino""]";Sparito!
203042;6252;2;2;15;20;https://cf.geekdo-images.com/IYQRaVofOxpnw_aiY5r6fA__thumb/img/fyWWVwV4jrmS5xE1OQ3AawJxb8Q=/fit-in/200x150/filters:strip_icc()/pic3198626.jpg;https://cf.geekdo-images.com/IYQRaVofOxpnw_aiY5r6fA__original/img/3OtlR50CgX-uf4rlYvzwzD5mAgc=/0x0/filters:format(jpeg)/pic3198626.jpg;"[""Micromondo""]";Microworld
105187;3568;2;5;60;120;https://cf.geekdo-images.com/0UW3tNg48BUpC7VpBqeJjQ__thumb/img/tBx7aAYoYLOmNgUln_V5TxHB3g8=/fit-in/200x150/filters:strip_icc()/pic1103828.jpg;https://cf.geekdo-images.com/0UW3tNg48BUpC7VpBqeJjQ__original/img/jw_H-WtjohZHariFms_GRMz6kis=/0x0/filters:format(jpeg)/pic1103828.jpg;[];MIL (1049)
192203;11397;2;5;15;25;https://cf.geekdo-images.com/JqiXq6eS5KxWOj5bMB0zEQ__thumb/img/ot-Cr-3TNc-jDbtv427PEju5W0w=/fit-in/200x150/filters:strip_icc()/pic2871037.png;https://cf.geekdo-images.com/JqiXq6eS5KxWOj5bMB0zEQ__original/img/Z7GoefZuKEsK_hmfInAzpVIESx0=/0x0/filters:format(png)/pic2871037.png;"[""Milh\u00f5es: O \u00daltimo Soldado""; ""Millions: O \u00daltimo Soldado""]";Millions: The Last Soldier
222951;6683;2;4;60;120;https://cf.geekdo-images.com/sdfZ1iRqMG7Jol7gkLeoRw__thumb/img/clAfab-e22KyAeUVVemremvhE9k=/fit-in/200x150/filters:strip_icc()/pic4291832.jpg;https://cf.geekdo-images.com/sdfZ1iRqMG7Jol7gkLeoRw__original/img/SD3MIuSIz3D2IOG5Y6KB9Yc6PS8=/0x0/filters:format(jpeg)/pic4291832.jpg;[];Mini WWII
118;220;3;5;45;45;https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__thumb/img/AUqMholGVlwXLjMcxwiziE_7Ffw=/fit-in/200x150/filters:strip_icc()/pic3458036.png;https://cf.geekdo-images.com/wLto-xaabHwKQe_Bc4iD1Q__original/img/s3Gai8XBTVfWFFlYpL4XF3kIlWU=/0x0/filters:format(png)/pic3458036.png;"[""Art Moderne""; ""Arte Moderna""; ""\u0421\u043e\u0432\u0440\u0435\u043c\u0435\u043d\u043d\u043e\u0435 \u0438\u0441\u043a\u0443\u0441\u0441\u0442\u0432\u043e""; ""\u0647\u0646\u0631 \u0645\u062f\u0631\u0646""; ""\u30b9\u30bf\u30f3\u30d7\u30b9 (Stamps)""; ""\u30e2\u30c0\u30f3\u30a2\u30fc\u30c8""; ""\u73fe\u4ee3\u85dd\u8853 (\u73b0\u4ee3\u827a\u672f)""]";Modern Art
233955;2094;2;4;45;45;https://cf.geekdo-images.com/m6DfJ9oG_ybEIpUl775i1A__thumb/img/bNUl4T8JfVs7_XdFN3qaXJBZDOo=/fit-in/200x150/filters:strip_icc()/pic3714270.jpg;https://cf.geekdo-images.com/m6DfJ9oG_ybEIpUl775i1A__original/img/FOG2ghdAtNwo-YwQW9eywpWuqNY=/0x0/filters:format(jpeg)/pic3714270.jpg;"[""Montana: Heritage Edition""]";Montana
35435;1375;3;4;45;45;https://cf.geekdo-images.com/r4uZ2K_y6rNQtYmAIOkK_w__thumb/img/WP9k5YX-ocmbdBwpChu9MJMmd0c=/fit-in/200x150/filters:strip_icc()/pic1182301.jpg;https://cf.geekdo-images.com/r4uZ2K_y6rNQtYmAIOkK_w__original/img/aJ-DrXVPj8zW06aEMbV3sfvVLRU=/0x0/filters:format(jpeg)/pic1182301.jpg;"[""N\u00e9fertiti""; ""Nofretete""]";Nefertiti
280812;5733;1;4;90;90;https://cf.geekdo-images.com/tn6fDBqzemCvnOR2tDxclA__thumb/img/Lr1yoWKK-MBAYOfxP3VmC3vOLoI=/fit-in/200x150/filters:strip_icc()/pic4905557.jpg;https://cf.geekdo-images.com/tn6fDBqzemCvnOR2tDxclA__original/img/XZuu_g7Pg_NWbg-zjfFSx19Gaks=/0x0/filters:format(jpeg)/pic4905557.jpg;[];Nētā-Tanka
244711;348;1;4;90;90;https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__thumb/img/GW009LiSNJwiMx7Thb8TT9nSfDk=/fit-in/200x150/filters:strip_icc()/pic4058665.jpg;https://cf.geekdo-images.com/ZyCjYnNS6VFF1X7e6IFA1A__original/img/4CK6Cx5xj0b0p6r69c7kvDjANGE=/0x0/filters:format(jpeg)/pic4058665.jpg;"[""\u725b\u987f""; ""\ub274\ud134""]";Newton
207351;12103;2;4;20;40;https://cf.geekdo-images.com/bfDVG6HC2VO0jPlm8-2oFw__thumb/img/ME8p97X-V6bC2H5mCCCNLMUlhmg=/fit-in/200x150/filters:strip_icc()/pic3155734.jpg;https://cf.geekdo-images.com/bfDVG6HC2VO0jPlm8-2oFw__original/img/iey2HYeOoPbkz61W-19P3RrUQxM=/0x0/filters:format(jpeg)/pic3155734.jpg;[];Nimbee
154809;314;2;4;60;120;https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__thumb/img/GfDVi8Cdml30yla1ui0y3exXG7g=/fit-in/200x150/filters:strip_icc()/pic2683981.jpg;https://cf.geekdo-images.com/DVJamHS1e24-scuM8aRH8g__original/img/SZFgBrff-aSpci1q4PsLat9Z4sI=/0x0/filters:format(jpeg)/pic2683981.jpg;[];Nippon
206931;1020;1;6;20;20;https://cf.geekdo-images.com/3SDN2RboQKFA8Cwle7XaMA__thumb/img/XD7UyXcodX7Syxe33OEaVsevA2A=/fit-in/200x150/filters:strip_icc()/pic4731898.jpg;https://cf.geekdo-images.com/3SDN2RboQKFA8Cwle7XaMA__original/img/5bZ8_EGeajhUlvMI7Ou6oPcLLjk=/0x0/filters:format(jpeg)/pic4731898.jpg;"[""Keer op Keer""; ""Noch mal!""; ""Plenus""]";Encore!
233676;2346;2;4;70;120;https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__thumb/img/q4W2Kl7sBDxq8E4_GwVqLWertl0=/fit-in/200x150/filters:strip_icc()/pic5355459.jpg;https://cf.geekdo-images.com/A1H2QX5meUBthiEpX-gq8w__original/img/dvedrpIxF-258KFJlN_JJ0YBGHw=/0x0/filters:format(jpeg)/pic5355459.jpg;"[""\u041d\u043e\u0440\u0438\u044f""; ""\u30ce\u30fc\u30ea\u30a2""; ""\u8afe\u745e\u4e9e\u96f2\u4e2d\u57ce""]";Noria
191438;3971;3;5;45;90;https://cf.geekdo-images.com/EhFHGbpihB7KBNEuDe0bJw__thumb/img/EydatDnC9as4K-Oiel7ujVS8oSk=/fit-in/200x150/filters:strip_icc()/pic3847804.png;https://cf.geekdo-images.com/EhFHGbpihB7KBNEuDe0bJw__original/img/KrVXX4Bs4uOZkMbbAc6bMSu1aqg=/0x0/filters:format(png)/pic3847804.png;"[""Ameryka\u0144skie koleje""]";North American Railways
25554;289;2;5;45;75;https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__thumb/img/DwCJeQSpNHs_cX8FfWwNlKqDRSQ=/fit-in/200x150/filters:strip_icc()/pic199316.jpg;https://cf.geekdo-images.com/d1g8Yh14XHf63H3VOC93AA__original/img/au2Y5st7foP0ohkFEbFqAOPR7Nc=/0x0/filters:format(jpeg)/pic199316.jpg;"[""\u8056\u6bcd\u9662""]";Notre Dame
286791;;2;4;30;60;https://cf.geekdo-images.com/gghpwwJNZK8YD85K7ktEaw__thumb/img/VIPNM0M-05cvqJO0j3ZF2e1pQnU=/fit-in/200x150/filters:strip_icc()/pic4899973.jpg;https://cf.geekdo-images.com/gghpwwJNZK8YD85K7ktEaw__original/img/MVvz5qR65SKWK-bpqfv9BhLBQlU=/0x0/filters:format(jpeg)/pic4899973.jpg;[];Numberplace City
234277;369;1;5;20;100;https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__thumb/img/b380XF_C0n--whN9elUn8jI__Yg=/fit-in/200x150/filters:strip_icc()/pic3729070.jpg;https://cf.geekdo-images.com/nKYqNPEE94Zk_q5Vtk527w__original/img/Bf35-bzWhSF8jMq8pfzubBxuNlU=/0x0/filters:format(jpeg)/pic3729070.jpg;"[""\u041d\u0443\u0441\u0444\u044c\u043e\u0440\u0434""; ""\u30cc\u30fc\u30b9\u30d5\u30a3\u30e8\u30eb\u30c9""]";Nusfjord
172938;;2;6;45;45;https://cf.geekdo-images.com/AA0GP50hBaayeacsg8R47A__thumb/img/SFQJLhcIGVdlYN6HjWf_yKoFevU=/fit-in/200x150/filters:strip_icc()/pic2410060.png;https://cf.geekdo-images.com/AA0GP50hBaayeacsg8R47A__original/img/9b4-bUl_FnFYJBMOnkit_Y90Hx8=/0x0/filters:format(png)/pic2410060.png;[];O Castelo de S. Jorge
62518;;2;8;60;60;https://cf.geekdo-images.com/ZwswqZZiCRZjB5AA2SXYew__thumb/img/83Pqo3-8Yl8yzreF8i9b8VDxuvk=/fit-in/200x150/filters:strip_icc()/pic611631.jpg;https://cf.geekdo-images.com/ZwswqZZiCRZjB5AA2SXYew__original/img/BChHMQnvmMhncEV8Ag2EMqktAR4=/0x0/filters:format(jpeg)/pic611631.jpg;[];O mistério do Marquês de Pombal
242630;11233;2;4;45;60;https://cf.geekdo-images.com/p2NvV3UZP6ESgaQKheMLeg__thumb/img/AMEIaANkFehpqn7Mm0Nmqen-0lg=/fit-in/200x150/filters:strip_icc()/pic3942032.jpg;https://cf.geekdo-images.com/p2NvV3UZP6ESgaQKheMLeg__original/img/InoP_F8mGBvFjrzG_ady2gqpPh8=/0x0/filters:format(jpeg)/pic3942032.jpg;[];O Palácio do Marquês
70323;313;2;6;30;30;https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__thumb/img/OfgWmkGJj5BgOO0zFHEtP5CHfbU=/fit-in/200x150/filters:strip_icc()/pic3043734.jpg;https://cf.geekdo-images.com/m_RzXpHURC0_xLkvRSR_sw__original/img/hSvWgiRYJCTTuoLOWTW3c8sYtl8=/0x0/filters:format(jpeg)/pic3043734.jpg;"[""King of Tokyo \u0645\u0644\u0643 \u062a\u0648\u0643\u064a\u0648""; ""King of Tokyo: La Furia dei Mostri""; ""Potwory w Tokio""; ""Regele din Tokyo""; ""O Rei de T\u00f3quio""; ""Toki\u00f3 Kir\u00e1lya""; ""Toki\u00f3 Kir\u00e1lya""; ""Vl\u00e1dce Tokia""; ""\u039f \u0392\u03b1\u03c3\u03b9\u03bb\u03b9\u03ac\u03c2 \u03a4\u03bf\u03c5 \u03a4\u03cc\u03ba\u03c5\u03bf""; ""\u0412\u043e\u043b\u043e\u0434\u0430\u0440 \u0422\u043e\u043a\u0456\u043e""; ""\u041a\u0440\u0430\u043b\u044f\u0442 \u043d\u0430 \u0422\u043e\u043a\u0438\u043e""; ""\u041f\u043e\u0432\u0435\u043b\u0438\u0442\u0435\u043b\u044c \u0422\u043e\u043a\u0438\u043e""; ""\u05de\u05dc\u05da \u05d8\u05d5\u05e7\u05d9\u05d5""; ""\u0e23\u0e32\u0e0a\u0e31\u0e19\u0e41\u0e2b\u0e48\u0e07\u0e42\u0e15\u0e40\u0e01\u0e35\u0e22\u0e27""; ""\u30ad\u30f3\u30b0\u30fb\u30aa\u30d6\u30fb\u30c8\u30fc\u30ad\u30e7\u30fc""; ""\u6771\u4eac\u4e4b\u738b""; ""\u6771\u4eac\u4e4b\u738b""; ""\ud0b9 \uc624\ube0c \ub3c4\ucfc4""]";King of Tokyo
74553;;2;6;90;90;https://cf.geekdo-images.com/lrEBNRVhRDn83719PIt44g__thumb/img/Yn3XtLWQHb_CFvx72b-y51n4L4I=/fit-in/200x150/filters:strip_icc()/pic757486.jpg;https://cf.geekdo-images.com/lrEBNRVhRDn83719PIt44g__original/img/ZmWzRsKtILPHy_xFumWbH8lJHUc=/0x0/filters:format(jpeg)/pic757486.jpg;"[""O Trof\u00e9u de S. Jorge""]";S. Jorge Trophy
231733;516;1;4;30;90;https://cf.geekdo-images.com/sy89BiuZXfbSnG7Cag9tBQ__thumb/img/eTnMwfCC2jCGDPXC08SIaMXNOTM=/fit-in/200x150/filters:strip_icc()/pic5902073.png;https://cf.geekdo-images.com/sy89BiuZXfbSnG7Cag9tBQ__original/img/uArsqbWyUALa982zGWsy8QQWnjE=/0x0/filters:format(png)/pic5902073.png;[];Obsession
123219;1745;2;4;30;60;https://cf.geekdo-images.com/VSpLBWdBYFifcmUak91yGA__thumb/img/fes6IW2ublVBYe18uJrT_D4sMTE=/fit-in/200x150/filters:strip_icc()/pic1358373.jpg;https://cf.geekdo-images.com/VSpLBWdBYFifcmUak91yGA__original/img/WXYdqfLCLw-RzMBBkaGnLB-JU2U=/0x0/filters:format(jpeg)/pic1358373.jpg;[];OddVille
269160;2563;2;4;40;60;https://cf.geekdo-images.com/j16Xrf08-toGYZ04HqLoNw__thumb/img/xaIYrg5FuSjX6VRLLd3yL2fcyz4=/fit-in/200x150/filters:strip_icc()/pic4804321.jpg;https://cf.geekdo-images.com/j16Xrf08-toGYZ04HqLoNw__original/img/TA3aM9Uxs2uiSiwjyvJiEk_7UWc=/0x0/filters:format(jpeg)/pic4804321.jpg;"[""Alte Meister""; ""Couleurs de Paris""; ""Obrazy Pary\u017ca""; ""Old Masters""; ""Oude Meesters""; ""\uceec\ub7ec \uc624\ube0c \ud30c\ub9ac""]";Colors of Paris
53621;;2;6;60;90;https://cf.geekdo-images.com/8vb_cG8p71o6mWEIKBbRmw__thumb/img/OacT2YY1mE6HEyMmEkk2jPMnl3w=/fit-in/200x150/filters:strip_icc()/pic535826.jpg;https://cf.geekdo-images.com/8vb_cG8p71o6mWEIKBbRmw__original/img/uGFFuTkXc7-wPbb8bbzQqxwV184=/0x0/filters:format(jpeg)/pic535826.jpg;[];Oitavos
276004;3235;2;4;45;80;https://cf.geekdo-images.com/qFZ0KtwllLi5yTi05ppkcA__thumb/img/4vRpAgr1FLJtMYokDGFOTDFCGvY=/fit-in/200x150/filters:strip_icc()/pic5497749.jpg;https://cf.geekdo-images.com/qFZ0KtwllLi5yTi05ppkcA__original/img/DokpsAEK5nt4J4FvMzF5nBupy04=/0x0/filters:format(jpeg)/pic5497749.jpg;"[""\u00dcber die Entstehung der Arten""]";On the Origin of Species
